scope,dimension,group_value,horizon,sample_n,wins,win_rate,mean_return,median_return,mean_excess,median_excess,mean_mdd,median_mdd,p10_mdd,inference_allowed
all,heat,hot,1,17958,8005,0.445762334336,-3.33245404364e-06,-0.00210156426047,-0.000107902113502,-0.00253979983613,-0.0106040454898,-0.00210156426047,-0.031796868345,1
all,heat,hot,5,17958,8277,0.46090878717,0.000368512361103,-0.00438837213781,0.000511248314035,-0.00394186793405,-0.045564595493,-0.0353507930012,-0.0957589944766,1
all,heat,hot,10,17958,8459,0.471043546052,0.00359780259437,-0.00443541071472,0.00289991685728,-0.005529426753,-0.0718797743366,-0.0592665105999,-0.138968027857,1
all,heat,hot,20,17958,8303,0.462356609867,0.00450679441616,-0.00834411836099,0.00324675981822,-0.0114761874649,-0.108936732878,-0.0945217580715,-0.199270461552,1
all,heat,warm,1,79237,35471,0.447657028913,0.000154908492887,-0.00154225786552,-1.65585715257e-05,-0.00173137508921,-0.00854490174032,-0.00154225786552,-0.0256046944043,1
all,heat,warm,5,79237,37412,0.472153160771,0.000505466373738,-0.00212916962385,-3.91205510265e-05,-0.00292753798066,-0.0368409767031,-0.0281085834487,-0.078250863061,1
all,heat,warm,10,79237,38066,0.480406880624,0.00190325176366,-0.00227790432802,0.000436437133017,-0.00411268353833,-0.0601097182889,-0.0479294478528,-0.118597440568,1
all,heat,warm,20,79237,38014,0.479750621553,0.00495452939691,-0.00379266750948,0.0019787543379,-0.00631308807758,-0.09213674728,-0.07813570939,-0.172204742706,1
all,overall,all,1,97195,43476,0.447306960235,0.000125671485582,-0.00162849057611,-3.3435440982e-05,-0.00184309265849,-0.00892535447402,-0.00162849057611,-0.0266824481034,1
all,overall,all,5,97195,45689,0.470075621174,0.000480162395561,-0.00245098039216,6.25670263054e-05,-0.00307891930895,-0.0384527751107,-0.0292682926829,-0.0818447547905,1
all,overall,all,10,97195,46525,0.478676886671,0.00221634136516,-0.00258839496687,0.00089159602893,-0.0043322952865,-0.0622843843366,-0.0499139414802,-0.123106060606,1
all,overall,all,20,97195,46317,0.476536858892,0.00487180472194,-0.00458190148912,0.00221303431542,-0.0071055304309,-0.0952407561423,-0.0809660602192,-0.177651515152,1
all,streak_group,5,1,5247,2348,0.447493805984,0.00069333512029,-0.00160857908847,3.58118391429e-05,-0.0020497719489,-0.00965457257073,-0.00160857908847,-0.02909434545,1
all,streak_group,5,5,5247,2462,0.469220506956,0.00117132220128,-0.00270994070012,8.3955623904e-05,-0.00282723609141,-0.0410804621621,-0.0311111111111,-0.0876154628248,1
all,streak_group,5,10,5247,2561,0.488088431485,0.00377207172642,-0.00173611111111,0.00131256391136,-0.00451598994625,-0.0652502646172,-0.0513447432763,-0.130271687071,1
all,streak_group,5,20,5247,2561,0.488088431485,0.00702912471339,-0.00204892445376,0.00288469982313,-0.00553870369799,-0.0989758421755,-0.0842223469961,-0.182302630668,1
all,streak_group,6,1,2395,1029,0.429645093946,5.77181541108e-05,-0.00279329608939,-6.48684170647e-05,-0.00222423828497,-0.0098284712904,-0.00279329608939,-0.0284087579986,1
all,streak_group,6,5,2395,1076,0.449269311065,-0.00148986290205,-0.00446207238473,-0.00147139216639,-0.00427853902336,-0.0430776471485,-0.032975534281,-0.0908830797243,1
all,streak_group,6,10,2395,1152,0.481002087683,0.000971313253933,-0.00322729368373,-1.35673717432e-05,-0.00583505316764,-0.067767484621,-0.0528656126482,-0.136740264384,1
all,streak_group,6,20,2395,1164,0.486012526096,0.00427369098634,-0.00249843847595,0.00231154469238,-0.00520966817165,-0.101603083056,-0.0861634287409,-0.188586568428,1
all,streak_group,7+,1,1891,815,0.430988894765,-0.00176712470284,-0.00290528762347,-0.00180230529591,-0.00210676639088,-0.0113700780093,-0.00290528762347,-0.0337975137461,1
all,streak_group,7+,5,1891,843,0.445795875198,-0.00290329962227,-0.00513874614594,-0.00355109338392,-0.00517734588561,-0.045155895792,-0.0330788804071,-0.0999776735879,1
all,streak_group,7+,10,1891,909,0.480698043363,-0.000784073864917,-0.00354757929883,-0.00233724442413,-0.00380733298297,-0.0692681365473,-0.0543374642517,-0.137337253255,1
all,streak_group,7+,20,1891,940,0.497091485986,0.00558616525966,0,0.00159459142747,-0.00210928872004,-0.102116473306,-0.0867346938776,-0.192419825073,1
all,volume_bucket,0_8_to_1_0,1,19419,8567,0.441165868479,-0.000689005040916,-0.00190114068441,-0.000328408923849,-0.0017722354103,-0.00903252237781,-0.00190114068441,-0.0267690312063,1
all,volume_bucket,0_8_to_1_0,5,19419,9017,0.464339049385,-0.00128000068669,-0.00309405940594,-0.000456456196449,-0.00312654417718,-0.0383839736781,-0.0293072824156,-0.0824946175962,1
all,volume_bucket,0_8_to_1_0,10,19419,9240,0.475822647922,0.000341906435736,-0.00289855072464,-4.11134175392e-05,-0.00375439909751,-0.0621536027798,-0.0497322111706,-0.123432566916,1
all,volume_bucket,0_8_to_1_0,20,19419,9154,0.471393995571,0.00174904834893,-0.00561797752809,0.000713439552703,-0.00610621441432,-0.0958648456692,-0.0808566890472,-0.17986178348,1
all,volume_bucket,1_0_to_1_5,1,32331,14466,0.447434350933,0.000160402451034,-0.00162932790224,5.13501918494e-05,-0.00186679110525,-0.00892146873488,-0.00162932790224,-0.0267041461701,1
all,volume_bucket,1_0_to_1_5,5,32331,15262,0.472054684359,0.000515405914978,-0.00223338916806,-0.000130132218371,-0.00285099189741,-0.0390078365267,-0.0295857988166,-0.083081570997,1
all,volume_bucket,1_0_to_1_5,10,32331,15665,0.484519501407,0.00307764298897,-0.001953125,0.000967574956413,-0.00423652511116,-0.0631118734808,-0.050134589502,-0.126303592121,1
all,volume_bucket,1_0_to_1_5,20,32331,15803,0.48878785067,0.00697749738182,-0.00195858981533,0.00305978936663,-0.00576370911935,-0.0965527754893,-0.0810600155885,-0.181599035757,1
all,volume_bucket,ge_1_5,1,19909,9136,0.458887940128,0.00201052507761,-0.00115955473098,0.000481448089384,-0.00194393321138,-0.00937608347024,-0.00115955473098,-0.0287096894057,1
all,volume_bucket,ge_1_5,5,19909,9531,0.478728213371,0.00434496626096,-0.0017204896474,0.00105431878282,-0.00345409378103,-0.0409878268193,-0.0310262529833,-0.0874625462057,1
all,volume_bucket,ge_1_5,10,19909,9549,0.479632327088,0.00561886649354,-0.00245901639344,0.00255957385903,-0.00498377620548,-0.0661267456477,-0.0535011801731,-0.130117388286,1
all,volume_bucket,ge_1_5,20,19909,9495,0.476919985936,0.00957059049825,-0.00456447318372,0.00356942940246,-0.00911467803423,-0.0990815590373,-0.0859030837004,-0.180543506424,1
