entry_date,entry_price,entry_shares,exit_date,exit_price,exit_reason,hold_days,industry,initial_atr,initial_stop,legs,period,platform,pnl_pct,score,signal_date,signal_kind,still_open,ts_code
2015-01-08,8.74418550044027,3200,2015-01-20,7.128412092750221,close 7.1352 <= stop 7.2389,12,801181.SI,0.4806586439683004,7.186797182271794,"[{""action"":""exit"",""forced"":false,""price"":7.128412092750221,""proceeds"":22793.810507778104,""reason"":""close 7.1352 <= stop 7.2389"",""rolled"":0,""shares"":3200,""trade_date"":""2015-01-20""}]",2015-2021,8.628773114176695,-18.60045183503677,92.2789108003725,2015-01-07,shallow,False,600748.SH
2015-01-09,2.817218867880458,10700,2015-02-03,2.297966762820139,close 2.27311 <= stop 2.35707,25,801055.SI,0.1358893806859986,2.3570731194599834,"[{""action"":""exit"",""forced"":false,""price"":2.297966762820139,""proceeds"":24569.803178903854,""reason"":""close 2.27311 <= stop 2.35707"",""rolled"":0,""shares"":10700,""trade_date"":""2015-02-03""}]",2015-2021,2.764741261517979,-18.553633794262126,83.36078351307086,2015-01-08,shallow,False,600219.SH
2015-01-08,4.078874767513949,6000,2015-02-06,3.4662042777433353,close 3.51656 <= stop 3.53985,29,801181.SI,0.2572376782393057,3.2484125077495345,"[{""action"":""exit"",""forced"":false,""price"":3.4662042777433353,""proceeds"":20781.627747210165,""reason"":""close 3.51656 <= stop 3.53985"",""rolled"":0,""shares"":6000,""trade_date"":""2015-02-06""}]",2015-2021,4.020125542467452,-15.147949737285526,95.58373263341981,2015-01-07,shallow,False,601588.SH
2015-01-08,4.090287732633796,5400,2015-02-09,3.37084977175552,close 3.3978 <= stop 3.42602,32,801951.SI,0.24479752339247715,3.1726675169892387,"[{""action"":""exit"",""forced"":false,""price"":3.37084977175552,""proceeds"":18188.9368259042,""reason"":""close 3.3978 <= stop 3.42602"",""rolled"":0,""shares"":5400,""trade_date"":""2015-02-09""}]",2015-2021,3.9070600871666703,-17.712456764146257,84.72914443708756,2015-01-07,shallow,False,600188.SH
2015-01-08,6.230943824475127,3800,2015-02-09,5.105693209759788,close 5.12673 <= stop 5.32364,32,801179.SI,0.3770115377340647,4.9158728957821065,"[{""action"":""exit"",""forced"":false,""price"":5.105693209759788,""proceeds"":19387.08297143938,""reason"":""close 5.12673 <= stop 5.32364"",""rolled"":0,""shares"":3800,""trade_date"":""2015-02-09""}]",2015-2021,6.046907508984301,-18.181891007904394,93.42599225034948,2015-01-07,shallow,False,601006.SH
2015-01-08,4.265564659779124,4900,2015-02-09,3.4829711435696473,close 3.49157 <= stop 3.61391,32,801179.SI,0.2825076594228714,3.2460431065194157,"[{""action"":""exit"",""forced"":false,""price"":3.4829711435696473,""proceeds"":17053.75868453865,""reason"":""close 3.49157 <= stop 3.61391"",""rolled"":0,""shares"":4900,""trade_date"":""2015-02-09""}]",2015-2021,4.09356608478803,-18.469162241222325,94.18964244911838,2015-01-07,shallow,False,601333.SH
2015-01-08,2.521517027863777,10600,2015-02-09,2.200092879256966,close 2.22226 <= stop 2.25842,32,801782.SI,0.1324489164086688,2.05212693498452,"[{""action"":""exit"",""forced"":false,""price"":2.200092879256966,""proceeds"":23303.493781733745,""reason"":""close 2.22226 <= stop 2.25842"",""rolled"":0,""shares"":10600,""trade_date"":""2015-02-09""}]",2015-2021,2.4494736842105262,-12.878033782355548,89.67975547596258,2015-01-07,shallow,False,601988.SH
2015-01-08,4.451839657258465,4900,2015-02-10,3.6633476803459155,close 3.66335 <= stop 3.76618,33,801971.SI,0.3160945712755619,3.4372667949302818,"[{""action"":""exit"",""forced"":false,""price"":3.6633476803459155,""proceeds"":17936.940830969714,""reason"":""close 3.66335 <= stop 3.76618"",""rolled"":0,""shares"":4900,""trade_date"":""2015-02-10""}]",2015-2021,4.3855505087569675,-17.83493884288979,93.4358855711347,2015-01-07,shallow,False,600008.SH
2015-01-08,7.16253530408586,3400,2015-03-12,6.697975899077387,close 6.67024 <= stop 6.75327,63,801181.SI,0.4250371869704388,5.714080681604218,"[{""action"":""exit"",""forced"":false,""price"":6.697975899077387,""proceeds"":22756.038218320467,""reason"":""close 6.67024 <= stop 6.75327"",""rolled"":0,""shares"":3400,""trade_date"":""2015-03-12""}]",2015-2021,6.989192242515534,-6.626129144671022,97.1134117972721,2015-01-07,shallow,False,600376.SH
2015-02-10,59.4269764957265,300,2015-04-15,50.40720284237727,close 51.4376 <= stop 52.5568,64,801104.SI,3.8452462234148284,45.991567034386804,"[{""action"":""exit"",""forced"":false,""price"":50.40720284237727,""proceeds"":15110.819232073643,""reason"":""close 51.4376 <= stop 52.5568"",""rolled"":0,""shares"":300,""trade_date"":""2015-04-15""}]",2015-2021,57.52730570463129,-15.305048865581893,85.97478727612483,2015-02-09,shallow,False,300226.SZ
2015-01-15,11.401147270844104,100,2015-05-06,12.795935358593466,close 12.6839 <= stop 12.9586,111,801093.SI,0.44427736634337894,9.95623398619125,"[{""action"":""exit"",""forced"":false,""price"":12.795935358593466,""proceeds"":1278.633840707452,""reason"":""close 12.6839 <= stop 12.9586"",""rolled"":0,""shares"":100,""trade_date"":""2015-05-06""}]",2015-2021,11.289066085221387,12.065527588333879,82.96148791766538,2015-01-14,shallow,False,600741.SH
2015-01-08,6.013460739509764,3500,2015-05-07,7.411682592438721,close 7.41168 <= stop 7.44267,119,801181.SI,0.4119036144578314,4.619112588284171,"[{""action"":""exit"",""forced"":false,""price"":7.411682592438721,""proceeds"":25921.43340673037,""reason"":""close 7.41168 <= stop 7.44267"",""rolled"":0,""shares"":3500,""trade_date"":""2015-05-07""}]",2015-2021,5.854823431657666,23.066794995777705,91.4340193763297,2015-01-07,shallow,False,002146.SZ
2015-04-16,9.273910463506297,600,2015-05-07,9.202572690710095,close 9.19465 <= stop 9.28782,21,801181.SI,0.38839454077932334,8.386151513153559,"[{""action"":""exit"",""forced"":false,""price"":9.202572690710095,""proceeds"":5517.402456715237,""reason"":""close 9.19465 <= stop 9.28782"",""rolled"":0,""shares"":600,""trade_date"":""2015-05-07""}]",2015-2021,9.551335135491529,-0.9179653721247405,91.0734951046125,2015-04-15,shallow,False,600684.SH
