capture_industry,cluster_active,financial_ann_date,financial_bad,financial_missing,is_st,membership_present,period,planned_entry_date,reasons,signal_date,signal_industry,ts_code
801096.SI,True,,False,True,False,True,2015-2021,2015-01-09,"[""financial_missing""]",2015-01-08,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-01-12,"[""financial_missing""]",2015-01-09,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-01-19,"[""financial_missing""]",2015-01-16,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-01-29,"[""financial_missing""]",2015-01-28,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-01-30,"[""financial_missing""]",2015-01-29,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-02-02,"[""financial_missing""]",2015-01-30,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-02-03,"[""financial_missing""]",2015-02-02,801096.SI,000800.SZ
801231.SI,True,,False,True,False,True,2015-2021,2015-02-09,"[""financial_missing""]",2015-02-06,801231.SI,000839.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-02-11,"[""financial_missing""]",2015-02-10,801096.SI,000800.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-02-13,"[""financial_missing""]",2015-02-12,801096.SI,000800.SZ
801231.SI,True,,False,True,False,True,2015-2021,2015-02-25,"[""financial_missing""]",2015-02-17,801231.SI,000839.SZ
801096.SI,True,,False,True,False,True,2015-2021,2015-02-27,"[""financial_missing""]",2015-02-26,801096.SI,000800.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-02-27,"[""financial_missing""]",2015-02-26,801202.SI,600120.SH
801096.SI,True,,False,True,False,True,2015-2021,2015-03-10,"[""financial_missing""]",2015-03-09,801096.SI,000800.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-03-10,"[""financial_missing""]",2015-03-09,801202.SI,600120.SH
801096.SI,True,,False,True,False,True,2015-2021,2015-03-16,"[""financial_missing""]",2015-03-13,801096.SI,000800.SZ
801723.SI,True,,False,True,False,True,2015-2021,2015-04-17,"[""financial_missing""]",2015-04-16,801723.SI,000498.SZ
801038.SI,True,2015-03-31,True,False,False,True,2015-2021,2015-04-17,"[""financial_bad""]",2015-04-16,801038.SI,600096.SH
801742.SI,True,,False,True,False,True,2015-2021,2015-04-17,"[""financial_missing""]",2015-04-16,801742.SI,600391.SH
801711.SI,True,2015-04-14,True,False,False,True,2015-2021,2015-04-30,"[""financial_bad""]",2015-04-29,801711.SI,000401.SZ
801038.SI,True,2015-03-31,True,False,False,True,2015-2021,2015-05-06,"[""financial_bad""]",2015-05-05,801038.SI,600096.SH
801951.SI,True,2015-04-18,True,False,False,True,2015-2021,2015-05-06,"[""financial_bad""]",2015-05-05,801951.SI,601918.SH
801044.SI,True,2015-04-11,True,False,False,True,2015-2021,2015-05-07,"[""financial_bad""]",2015-05-06,801044.SI,600022.SH
801038.SI,True,2015-03-31,True,False,False,True,2015-2021,2015-05-07,"[""financial_bad""]",2015-05-06,801038.SI,600096.SH
801038.SI,True,2015-03-31,True,False,False,True,2015-2021,2015-05-08,"[""financial_bad""]",2015-05-07,801038.SI,600096.SH
801038.SI,True,2015-03-31,True,False,False,True,2015-2021,2015-05-11,"[""financial_bad""]",2015-05-08,801038.SI,600096.SH
801723.SI,True,,False,True,False,True,2015-2021,2015-06-01,"[""financial_missing""]",2015-05-29,801723.SI,000498.SZ
801223.SI,True,,False,True,False,True,2015-2021,2015-06-01,"[""financial_missing""]",2015-05-29,801223.SI,002467.SZ
801044.SI,True,2015-04-11,True,False,False,True,2015-2021,2015-06-01,"[""financial_bad""]",2015-05-29,801044.SI,600022.SH
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-06-01,"[""financial_missing""]",2015-05-29,801202.SI,600120.SH
801951.SI,True,2015-04-18,True,False,False,True,2015-2021,2015-06-01,"[""financial_bad""]",2015-05-29,801951.SI,601918.SH
801034.SI,True,,False,True,False,True,2015-2021,2015-06-17,"[""financial_missing""]",2015-06-16,801034.SI,000565.SZ
801723.SI,True,,False,True,False,True,2015-2021,2015-06-18,"[""financial_missing""]",2015-06-17,801723.SI,000498.SZ
801223.SI,True,,False,True,False,True,2015-2021,2015-06-23,"[""financial_missing""]",2015-06-19,801223.SI,002467.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-06-23,"[""financial_missing""]",2015-06-19,801202.SI,600120.SH
801223.SI,True,,False,True,False,True,2015-2021,2015-06-24,"[""financial_missing""]",2015-06-23,801223.SI,002467.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-06-24,"[""financial_missing""]",2015-06-23,801202.SI,600120.SH
801223.SI,True,,False,True,False,True,2015-2021,2015-06-25,"[""financial_missing""]",2015-06-24,801223.SI,002467.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-06-25,"[""financial_missing""]",2015-06-24,801202.SI,600120.SH
801223.SI,True,,False,True,False,True,2015-2021,2015-06-26,"[""financial_missing""]",2015-06-25,801223.SI,002467.SZ
801202.SI,True,2013-03-30,False,True,False,True,2015-2021,2015-06-26,"[""financial_missing""]",2015-06-25,801202.SI,600120.SH
801038.SI,True,2015-03-31,True,False,False,True,2015-2021,2015-06-30,"[""financial_bad""]",2015-06-29,801038.SI,600096.SH
801223.SI,True,2015-04-18,True,False,False,True,2015-2021,2015-07-01,"[""financial_bad""]",2015-06-30,801223.SI,002123.SZ
801038.SI,True,2015-03-31,True,False,False,True,2015-2021,2015-07-01,"[""financial_bad""]",2015-06-30,801038.SI,600096.SH
801038.SI,True,2015-03-31,True,False,False,True,2015-2021,2015-07-02,"[""financial_bad""]",2015-07-01,801038.SI,600096.SH
801096.SI,True,,False,True,False,True,2015-2021,2015-07-03,"[""financial_missing""]",2015-07-02,801096.SI,000800.SZ
801055.SI,True,2015-03-26,True,False,False,True,2015-2021,2015-07-03,"[""financial_bad""]",2015-07-02,801055.SI,601600.SH
801044.SI,True,2015-04-11,True,False,False,True,2015-2021,2015-07-06,"[""financial_bad""]",2015-07-03,801044.SI,600022.SH
801055.SI,True,2015-03-26,True,False,False,True,2015-2021,2015-07-06,"[""financial_bad""]",2015-07-03,801055.SI,601600.SH
