base_gate_open,eligible_n,gate_open,nh250,nh_eligible_ratio,overheat,trade_date
True,1858,False,274,0.147470398277718,True,2015-03-02
True,1864,False,275,0.14753218884120173,True,2015-03-03
True,1870,False,220,0.11764705882352941,True,2015-03-04
True,1872,False,302,0.16132478632478633,True,2015-03-05
True,1882,False,211,0.11211477151965994,True,2015-03-06
True,1896,False,285,0.15031645569620253,True,2015-03-10
True,1909,False,235,0.12310110005238345,True,2015-03-11
True,1918,False,218,0.11366006256517205,True,2015-03-12
True,1922,False,434,0.22580645161290322,True,2015-03-16
True,1935,False,576,0.29767441860465116,True,2015-03-17
True,1948,False,549,0.2818275154004107,True,2015-03-18
True,1943,False,616,0.31703551209469893,True,2015-03-19
True,1951,False,609,0.3121476166068683,True,2015-03-20
True,1954,False,808,0.413510747185261,True,2015-03-23
True,1962,False,692,0.3527013251783894,True,2015-03-24
True,1960,False,644,0.32857142857142857,True,2015-03-25
True,1960,False,448,0.22857142857142856,True,2015-03-26
True,1970,False,334,0.16954314720812183,True,2015-03-27
True,1966,False,510,0.25940996948118006,True,2015-03-30
True,1981,False,444,0.22412922766279655,True,2015-03-31
True,1978,False,506,0.2558139534883721,True,2015-04-01
True,1982,False,820,0.41372351160444,True,2015-04-02
True,1999,False,935,0.46773386693346675,True,2015-04-03
True,1990,False,1096,0.5507537688442211,True,2015-04-07
True,1994,False,635,0.3184553660982949,True,2015-04-08
True,1992,False,340,0.1706827309236948,True,2015-04-09
True,1997,False,465,0.2328492739108663,True,2015-04-10
True,1995,False,773,0.387468671679198,True,2015-04-13
True,1998,False,665,0.3328328328328328,True,2015-04-14
True,1987,False,294,0.14796175138399598,True,2015-04-15
True,2008,False,330,0.1643426294820717,True,2015-04-17
True,2013,False,259,0.12866368604073522,True,2015-04-20
True,2021,False,231,0.11429985155863434,True,2015-04-21
True,2029,False,485,0.23903400689995072,True,2015-04-22
True,2033,False,515,0.2533202164289228,True,2015-04-23
True,2037,False,410,0.20127638684339716,True,2015-04-24
True,2037,False,526,0.25822287677957784,True,2015-04-27
True,2050,False,221,0.10780487804878049,True,2015-04-28
True,2055,False,294,0.14306569343065692,True,2015-04-30
True,2051,False,278,0.1355436372501219,True,2015-05-04
True,2057,False,382,0.1857073407875547,True,2015-05-11
True,2069,False,501,0.24214596423392942,True,2015-05-12
True,2060,False,521,0.2529126213592233,True,2015-05-13
True,2069,False,462,0.22329627839536006,True,2015-05-14
True,2071,False,345,0.16658619024625784,True,2015-05-15
True,2056,False,495,0.24075875486381323,True,2015-05-18
True,2054,False,570,0.2775073028237585,True,2015-05-19
True,2060,False,961,0.466504854368932,True,2015-05-20
True,2063,False,737,0.3572467280659234,True,2015-05-21
True,2056,False,1014,0.49319066147859925,True,2015-05-22
True,2037,False,918,0.45066273932253315,True,2015-05-25
True,2044,False,1213,0.5934442270058709,True,2015-05-26
True,2046,False,1085,0.5303030303030303,True,2015-05-27
True,2042,False,910,0.44564152791381,True,2015-05-28
True,2029,False,453,0.22326269098077872,True,2015-06-01
True,2030,False,920,0.45320197044334976,True,2015-06-02
True,2033,False,908,0.4466305951795376,True,2015-06-03
True,2043,False,505,0.2471855115026921,True,2015-06-04
True,2048,False,738,0.3603515625,True,2015-06-05
True,2037,False,482,0.23662248404516445,True,2015-06-08
True,2043,False,296,0.14488497307880568,True,2015-06-09
True,2040,False,376,0.1843137254901961,True,2015-06-10
True,2039,False,532,0.260912211868563,True,2015-06-11
True,2038,False,807,0.3959764474975466,True,2015-06-12
True,2030,False,641,0.31576354679802954,True,2015-06-15
True,2040,False,236,0.11568627450980393,True,2015-06-18
True,3610,False,458,0.12686980609418283,True,2020-07-07
True,3615,False,368,0.10179806362378976,True,2020-07-08
True,3616,False,548,0.1515486725663717,True,2020-07-09
True,3614,False,555,0.15356945213060322,True,2020-07-10
True,3617,False,607,0.16781863422726015,True,2020-07-13
True,3619,False,567,0.15667311411992263,True,2020-07-14
True,5227,False,1170,0.2238377654486321,True,2024-10-08
