params_id,chandelier_atr,cluster_hits,initial_stop_atr,weights,annual_excess,annual_return,benchmark_annual_return,ending_equity,expectancy,halted,max_dd,open_trades,profit_factor,trades,win_rate,selected
h2-s2-c2p5-wbase,2.5,2,2.0,base,-3.7336395686985213,0.7287995634198907,4.462439132118412,526022.8374238381,8.909935470689964,True,18.81245588274823,0,2.7192040291798856,96,50.0,False
h2-s2-c2p5-wrs_heavy,2.5,2,2.0,rs_heavy,-3.665958639406064,0.7964804927123481,4.462439132118412,528497.3024678003,7.982938096805196,True,19.474782483575027,0,2.3384596848962262,77,41.55844155844156,False
h2-s2-c2p5-wcluster_heavy,2.5,2,2.0,cluster_heavy,-3.457875807608124,1.004563324510288,4.462439132118412,536167.5404673666,8.23570394186543,True,18.273492570628456,0,2.566953583020791,104,46.15384615384615,False
h2-s2-c3-wbase,3.0,2,2.0,base,-3.2214252709309887,1.2410138611874233,4.462439132118412,544999.0485579052,7.969430818080008,True,19.134514560663405,0,2.359370519797528,89,47.19101123595505,False
h2-s2-c3-wrs_heavy,3.0,2,2.0,rs_heavy,-3.287552363302071,1.1748867688163411,4.462439132118412,542516.7153941526,10.214002688013823,True,19.163716854467445,0,2.8244621423750083,82,50.0,False
h2-s2-c3-wcluster_heavy,3.0,2,2.0,cluster_heavy,-3.2010032227805407,1.2614359093378713,4.462439132118412,545767.6324047095,10.051835210381904,True,19.432778040612618,0,2.8121198201452886,84,52.38095238095239,False
h2-s2-c3p5-wbase,3.5,2,2.0,base,-2.8868277695920375,1.5756113625263746,4.462439132118412,557709.2190953142,12.12045605440475,True,19.2875839615403,0,3.084385957363031,72,54.166666666666664,False
h2-s2-c3p5-wrs_heavy,3.5,2,2.0,rs_heavy,-2.6627436639603763,1.7996954681580357,4.462439132118412,566362.662499444,12.003686635271338,True,17.90540613393197,0,3.0627571482944056,75,53.333333333333336,False
h2-s2-c3p5-wcluster_heavy,3.5,2,2.0,cluster_heavy,-3.0638603920147167,1.3985787401036953,4.462439132118412,550953.1053266578,10.422534370374805,True,20.714238989847594,0,2.6170296953213255,84,51.19047619047619,False
h2-s2p5-c2p5-wbase,2.5,2,2.5,base,-3.7451893495777933,0.7172497825406188,4.462439132118412,525601.5620555918,10.105641557261356,True,19.01791905916873,0,2.736587922761306,97,48.45360824742268,False
h2-s2p5-c2p5-wrs_heavy,2.5,2,2.5,rs_heavy,-3.257619714672244,1.204819417446168,4.462439132118412,543639.1489248069,11.543345603894027,True,18.687908896695284,0,3.197071872651851,91,48.35164835164835,False
