equity,event,period,trade_date,trigger_date,trigger_equity
458226.5592082379,trigger,2015-2021,2015-02-09,2015-02-09,458226.5592082379
468769.2968616227,recovery,2015-2021,2015-02-10,2015-02-09,458226.5592082379
684809.59618095,trigger,2015-2021,2015-06-26,2015-06-26,684809.59618095
458094.31119416235,trigger,2022-2025,2022-04-07,2022-04-07,458094.31119416235
459302.6105090761,recovery,2022-2025,2022-04-13,2022-04-07,458094.31119416235
458445.57673173223,trigger,2022-2025,2022-12-07,2022-12-07,458445.57673173223
