equity,event,peak_equity,period,risk_pct,trade_date
458234.00973257475,downshift,500000.0,2015-2021,0.005,2015-02-09
504150.71344060905,recovery,500000.0,2015-2021,0.01,2015-03-18
620126.6118316894,downshift,694315.1411432339,2015-2021,0.005,2015-06-26
606303.9289972108,downshift,694315.1411432339,2015-2021,0.0025,2015-07-01
467721.63973474444,downshift,510651.296704159,2022-2025,0.005,2022-03-29
447722.6080808183,downshift,510651.296704159,2022-2025,0.0025,2022-12-15
