entry_date,entry_price,entry_shares,exit_date,exit_price,exit_reason,hold_days,industry,initial_atr,initial_stop,legs,period,platform,pnl_pct,score,signal_date,signal_kind,still_open,ts_code
2015-01-08,8.74418550044027,4600,2015-01-15,7.569694746110949,close 7.55612 <= stop 7.66746,7,801181.SI,0.4806586439683004,7.6674558262400945,"[{""action"":""exit"",""forced"":false,""price"":7.569694746110949,""proceeds"":34794.48038523628,""reason"":""close 7.55612 <= stop 7.66746"",""rolled"":0,""shares"":4600,""trade_date"":""2015-01-15""}]",2015-2021,8.628773114176695,-13.561432186729515,92.2789108003725,2015-01-07,shallow,False,600748.SH
2015-01-09,2.817218867880458,1100,2015-01-20,2.5078771882700552,close 2.49131 <= stop 2.49296,11,801055.SI,0.1358893806859986,2.492962500145982,"[{""action"":""exit"",""forced"":false,""price"":2.5078771882700552,""proceeds"":2756.595908416738,""reason"":""close 2.49131 <= stop 2.49296"",""rolled"":0,""shares"":1100,""trade_date"":""2015-01-20""}]",2015-2021,2.764741261517979,-11.113821496622611,83.36078351307086,2015-01-08,shallow,False,600219.SH
2015-01-08,4.078874767513949,8700,2015-01-20,3.3906695598264105,close 3.39906 <= stop 3.50565,12,801181.SI,0.2572376782393057,3.50565018598884,"[{""action"":""exit"",""forced"":false,""price"":3.3906695598264105,""proceeds"":29476.7010516119,""reason"":""close 3.39906 <= stop 3.50565"",""rolled"":0,""shares"":8700,""trade_date"":""2015-01-20""}]",2015-2021,4.020125542467452,-16.9970258931316,95.58373263341981,2015-01-07,shallow,False,601588.SH
2015-01-08,5.895031280076997,3300,2015-01-20,5.386369104908566,close 5.3682 <= stop 5.41407,12,801951.SI,0.3469802694898938,5.019405678537055,"[{""action"":""exit"",""forced"":false,""price"":5.386369104908566,""proceeds"":17761.68678266362,""reason"":""close 5.3682 <= stop 5.41407"",""rolled"":0,""shares"":3300,""trade_date"":""2015-01-20""}]",2015-2021,5.7133662175168425,-8.765613771181634,86.65400702378219,2015-01-07,shallow,False,601918.SH
2015-01-08,2.521517027863777,14800,2015-02-03,2.3164705882352936,close 2.28876 <= stop 2.3209,26,801782.SI,0.1324489164086688,2.1845758513931886,"[{""action"":""exit"",""forced"":false,""price"":2.3164705882352936,""proceeds"":34258.05188235293,""reason"":""close 2.28876 <= stop 2.3209"",""rolled"":0,""shares"":14800,""trade_date"":""2015-02-03""}]",2015-2021,2.4494736842105262,-8.269567055477644,89.67975547596258,2015-01-07,shallow,False,601988.SH
2015-01-15,11.401147270844104,3000,2015-02-05,10.473364123189397,close 10.3986 <= stop 10.4005,21,801093.SI,0.44427736634337894,10.400511352534629,"[{""action"":""exit"",""forced"":false,""price"":10.473364123189397,""proceeds"":31396.52730029101,""reason"":""close 10.3986 <= stop 10.4005"",""rolled"":0,""shares"":3000,""trade_date"":""2015-02-05""}]",2015-2021,11.289066085221387,-8.27531999825909,82.96148791766538,2015-01-14,shallow,False,600741.SH
2015-01-08,6.230943824475127,5300,2015-02-06,5.352827690561755,close 5.37386 <= stop 5.44537,29,801179.SI,0.3770115377340647,5.292884433516171,"[{""action"":""exit"",""forced"":false,""price"":5.352827690561755,""proceeds"":28348.70926990732,""reason"":""close 5.37386 <= stop 5.44537"",""rolled"":0,""shares"":5300,""trade_date"":""2015-02-06""}]",2015-2021,6.046907508984301,-14.221591190573314,93.42599225034948,2015-01-07,shallow,False,601006.SH
2015-01-08,4.265564659779124,6700,2015-02-06,3.6205700035625226,close 3.64637 <= stop 3.70055,29,801179.SI,0.2825076594228714,3.528550765942287,"[{""action"":""exit"",""forced"":false,""price"":3.6205700035625226,""proceeds"":24239.625659601,""reason"":""close 3.64637 <= stop 3.70055"",""rolled"":0,""shares"":6700,""trade_date"":""2015-02-06""}]",2015-2021,4.09356608478803,-15.248190872974298,94.18964244911838,2015-01-07,shallow,False,601333.SH
2015-01-08,4.451839657258465,7100,2015-02-09,3.774992562032648,close 3.78546 <= stop 3.85262,32,801971.SI,0.3160945712755619,3.753361366205844,"[{""action"":""exit"",""forced"":false,""price"":3.774992562032648,""proceeds"":26782.34535503898,""reason"":""close 3.78546 <= stop 3.85262"",""rolled"":0,""shares"":7100,""trade_date"":""2015-02-09""}]",2015-2021,4.3855505087569675,-15.33086078857785,93.4358855711347,2015-01-07,shallow,False,600008.SH
2015-02-05,11.616772336269236,2400,2015-02-12,10.027286747318277,close 10.0357 <= stop 10.144,7,801038.SI,0.6729949621302993,10.143961753315741,"[{""action"":""exit"",""forced"":false,""price"":10.027286747318277,""proceeds"":24047.439077418694,""reason"":""close 10.0357 <= stop 10.144"",""rolled"":0,""shares"":2400,""trade_date"":""2015-02-12""}]",2015-2021,11.48995167757634,-13.812057259820786,82.38447179184774,2015-02-04,shallow,False,600096.SH
