params_id,chandelier_atr,cluster_hits,initial_stop_atr,weights,annual_excess,annual_return,benchmark_annual_return,ending_equity,ending_risk_pct,expectancy,max_dd,open_trades,profit_factor,reduced_risk,trades,win_rate,selected
h2-s2-c2p5-wbase,2.5,2,2.0,base,-6.219894376124168,-1.7574552440057567,4.462439132118412,441740.6542449121,0.0025,-0.7945786444918261,40.873285334714446,54,0.8731293908057723,True,1848,30.898268398268396,False
h2-s2-c2p5-wrs_heavy,2.5,2,2.0,rs_heavy,-6.643172519833918,-2.1807333877155055,4.462439132118412,428613.0106179401,0.0025,-0.6587781317416876,40.828494129090274,53,0.8940241124605129,True,1806,31.284606866002214,False
h2-s2-c2p5-wcluster_heavy,2.5,2,2.0,cluster_heavy,-5.435029860629747,-0.9725907285113355,4.462439132118412,466995.9620258362,0.0025,-0.6223640888192665,40.1224306336304,54,0.8973400919128618,True,1807,31.26729385722192,False
h2-s2-c3-wbase,3.0,2,2.0,base,-5.214047786628539,-0.7516086545101275,4.462439132118412,474326.0195074958,0.0025,-0.6165245608909347,38.54590612672184,54,0.9076056197844158,True,1563,30.902111324376197,False
h2-s2-c3-wrs_heavy,3.0,2,2.0,rs_heavy,-5.22742124925869,-0.7649821171402782,4.462439132118412,473879.63140515087,0.0025,-0.3706894659034079,39.90057192640469,53,0.9442009891849533,True,1564,31.393861892583118,False
h2-s2-c3-wcluster_heavy,3.0,2,2.0,cluster_heavy,-4.600906212358025,-0.13846708023961263,4.462439132118412,495182.66061361914,0.0025,-0.5355620852870533,38.615280789363794,53,0.9199207952750028,True,1525,31.278688524590166,False
h2-s2-c3p5-wbase,3.5,2,2.0,base,-4.27058900102697,0.19185013109144222,4.462439132118412,506740.89411227184,0.0025,-1.215552196560132,37.89361980530032,56,0.8337831156897532,True,1458,29.35528120713306,False
h2-s2-c3p5-wrs_heavy,3.5,2,2.0,rs_heavy,-4.833784878534974,-0.3713457464165626,4.462439132118412,487170.3686200147,0.0025,-0.8753941615669966,39.36213783205313,59,0.8789509334263844,True,1449,29.675638371290546,False
h2-s2-c3p5-wcluster_heavy,3.5,2,2.0,cluster_heavy,-3.4280245829650724,1.0344145491533396,4.462439132118412,537275.6848869356,0.0025,-0.5772951696065167,38.16453151440034,56,0.9174044125429367,True,1429,30.72078376487054,False
h2-s2p5-c2p5-wbase,2.5,2,2.5,base,-4.786669756381546,-0.3242306242631332,4.462439132118412,488782.3581760782,0.0025,-0.6036298821682571,40.490261126228766,56,0.903153012965623,True,1971,32.1664129883308,False
h2-s2p5-c2p5-wrs_heavy,2.5,2,2.5,rs_heavy,-5.735292926084634,-1.2728537939662221,4.462439132118412,457191.80809340725,0.0025,-0.9673893021154867,39.22098107858836,63,0.8465520806366835,True,1985,30.93198992443325,False
h2-s2p5-c2p5-wcluster_heavy,2.5,2,2.5,cluster_heavy,-5.591739366307891,-1.1293002341894787,4.462439132118412,461856.8662826188,0.0025,-0.800159968543255,40.49979602216716,59,0.8703309522300963,True,1958,31.613891726251275,False
h2-s2p5-c3-wbase,3.0,2,2.5,base,-3.661156652173214,0.8012824799451979,4.462439132118412,528673.2449801711,0.0025,-0.4315788437931407,37.565224112555974,65,0.9375534177542949,True,1654,31.43893591293833,False
h2-s2p5-c3-wrs_heavy,3.0,2,2.5,rs_heavy,-4.409647811326778,0.05279132079163418,4.462439132118412,501847.18058861373,0.0025,-0.6218891052336913,38.657810069733465,61,0.912394951909224,True,1691,30.86930810171496,False
h2-s2p5-c3-wcluster_heavy,3.0,2,2.5,cluster_heavy,-3.0575267124454353,1.4049124196729768,4.462439132118412,551193.6027942151,0.0025,-0.2558333836156405,39.098250337984894,65,0.9626433163254756,True,1644,31.569343065693428,False
h2-s2p5-c3p5-wbase,3.5,2,2.5,base,-1.9199808943253682,2.542458237793044,4.462439132118412,595873.7793723256,0.0025,-0.4691002445947929,36.05904563794767,61,0.9360480681052016,True,1483,30.74848280512475,False
h2-s2p5-c3p5-wrs_heavy,3.5,2,2.5,rs_heavy,-3.125736949738145,1.3367021823802672,4.462439132118412,548608.3037260969,0.0025,-0.6502153479904234,37.67463985346913,64,0.9117556370076899,True,1494,30.856760374832664,False
h2-s2p5-c3p5-wcluster_heavy,3.5,2,2.5,cluster_heavy,-1.7721487341510578,2.6902903979673543,4.462439132118412,601901.9372677573,0.0025,-0.5193713624278632,36.18500470986677,62,0.9286045828854562,True,1476,30.89430894308943,False
h2-s3-c2p5-wbase,2.5,2,3.0,base,-6.991365594456789,-2.5289264623383767,4.462439132118412,418066.0667281946,0.0025,-0.9370336157680592,43.04833824879581,63,0.8521578651744404,True,2213,30.908269317668324,False
h2-s3-c2p5-wrs_heavy,2.5,2,3.0,rs_heavy,-6.721921808496689,-2.259482676378277,4.462439132118412,426207.91935379605,0.0025,-1.1522295259450033,42.29223201593891,70,0.8209037872092523,True,2200,30.909090909090907,False
h2-s3-c2p5-wcluster_heavy,2.5,2,3.0,cluster_heavy,-6.675403864817342,-2.21296473269893,4.462439132118412,427627.2272721379,0.0025,-0.7911117351062988,42.19014797658622,66,0.8738135472335113,True,2209,31.05477591670439,False
h2-s3-c3-wbase,3.0,2,3.0,base,-5.106050637218584,-0.6436115051001723,4.462439132118412,477944.0408520471,0.0025,-0.9826081010946748,40.99111236999034,63,0.8623599558547825,True,1850,30.7027027027027,False
h2-s3-c3-wrs_heavy,3.0,2,3.0,rs_heavy,-5.014130219244861,-0.5516910871264491,4.462439132118412,481042.0781011289,0.0025,-0.5455558106690607,40.74870295179885,64,0.922104764126758,True,1833,31.42389525368249,False
h2-s3-c3-wcluster_heavy,3.0,2,3.0,cluster_heavy,-4.871110974428172,-0.40867184230976017,4.462439132118412,485896.53538980085,0.0025,-0.8038753387470443,41.502989494197585,65,0.8853855221261531,True,1807,30.99059214167128,False
h2-s3-c3p5-wbase,3.5,2,3.0,base,-2.913690137401148,1.548748994717264,4.462439132118412,556679.5223955617,0.0025,-0.8072698861457805,38.87323675422022,64,0.8946489304331819,True,1586,31.021437578814627,False
h2-s3-c3p5-wrs_heavy,3.5,2,3.0,rs_heavy,-3.1253441055665077,1.3370950265519044,4.462439132118412,548623.1634728969,0.0025,-0.775021512058101,38.993989669365334,68,0.8994709370546127,True,1588,31.10831234256927,False
h2-s3-c3p5-wcluster_heavy,3.5,2,3.0,cluster_heavy,-2.3143402903190724,2.1480988417993396,4.462439132118412,580045.3942622998,0.0025,-0.5503048221949439,38.450683878655276,66,0.9267647585507935,True,1578,31.305449936628644,False
h3-s2-c2p5-wbase,2.5,3,2.0,base,-5.669836436174281,-1.2073973040558683,4.462439132118412,459313.9139983173,0.0025,-0.8405448243307038,36.82328535915041,56,0.8633592493878985,True,1735,30.778097982708935,False
h3-s2-c2p5-wrs_heavy,2.5,3,2.0,rs_heavy,-7.5606906855006155,-3.098251553382203,4.462439132118412,401299.90049401147,0.0025,-0.7806763460489394,40.08062415977046,53,0.8729094603122954,True,1715,31.60349854227405,False
