benchmark_max_drawdown,benchmark_rebalance_count,benchmark_return,excess_return,strategy_max_drawdown,strategy_rebalance_count,strategy_return,year
0.43772540955787864,1,0.0410806514165003,-0.1556920001875951,0.2093523984439035,32,-0.1146113487710948,2015
0.2338141999554043,0,-0.09697440641379307,0.023722743810979607,0.07497967971338575,19,-0.07325166260281346,2016
0.06158225647902784,0,0.23359694109708395,-0.20535762704732963,0.010207145851348914,10,0.028239314049754327,2017
0.3048767147728189,0,-0.24154295108552226,0.22059889704775915,0.03289356381144865,12,-0.020944054037763116,2018
0.13395061399438632,0,0.38592380481552313,-0.36059299853767635,0.04491507969566782,11,0.025330806277846785,2019
0.1608410429581332,0,0.2907070873708728,-0.30403001625789194,0.05660748575335241,18,-0.013322928887019136,2020
0.1718350462924751,0,-0.04028947704574115,0.040267553992468175,0.047073205989343496,20,-2.192305327297639e-05,2021
0.2769734121953937,0,-0.201343053662299,0.1669920900521531,0.04181313153788405,13,-0.03435096361014589,2022
0.198769902921271,0,-0.09748944510335245,0.08071006213242571,0.03364177570349478,12,-0.016779382970926737,2023
0.12440939682183456,0,0.17402144032652545,-0.17093938397776376,0.0352646547731551,7,0.003082056348761686,2024
0.10073360474902304,0,0.2083197049493799,-0.13328670701100065,0.051671360816425906,5,0.07503299793837925,2025
