buy_price,buy_value,direction,execution_date,fees,from_asset,from_weight,reasons,sell_price,sell_value,shares_after,shares_before,signal_date,target_weight,to_asset
2.1,104790.0,CASH→159915.SZ,2016-03-21,78.5925,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,49900,0,2016-03-18,0.25,159915.SZ
3.3596794,103814.09346,159915.SZ→510300.SH,2016-05-03,154.057870095,159915.SZ,0.25,gate_open;momentum_switch;risk_tier_0.25,2.036,101596.40000000001,30900,49900,2016-04-29,0.25,510300.SH
,0.0,510300.SH→CASH,2016-05-12,75.46827510000001,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.2564520000000003,100624.36680000002,0,30900,2016-05-11,0.0,
3.3650004,102969.01224,CASH→510300.SH,2016-06-03,77.22675918,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,30600,0,2016-06-02,0.25,510300.SH
,0.0,510300.SH→CASH,2016-06-16,76.24982358,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.3224324,101666.43144,0,30600,2016-06-15,0.0,
3.330946,102593.1368,CASH→510300.SH,2016-06-21,76.94485259999999,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,30800,0,2016-06-20,0.25,510300.SH
,0.0,510300.SH→CASH,2016-06-27,75.7157016,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.277736,100954.2688,0,30800,2016-06-24,0.0,
3.3639362,102263.66047999999,CASH→510300.SH,2016-07-01,76.69774536,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,30400,0,2016-06-30,0.25,510300.SH
1.8841766,103629.713,510300.SH→510500.SH,2016-07-14,158.37502299,510300.SH,0.25,gate_open;momentum_switch;risk_tier_0.25,3.5374008,107536.98432,55000,30400,2016-07-13,0.25,510500.SH
,0.0,510500.SH→CASH,2016-08-08,74.80856625,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,1.8135409999999998,99744.75499999999,0,55000,2016-08-05,0.0,
3.4937686,102367.41998,CASH→510300.SH,2016-08-09,76.775564985,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,29300,0,2016-08-08,0.25,510300.SH
1.9021157999999998,103475.09951999999,510300.SH→510500.SH,2016-09-08,157.188185025,510300.SH,0.25,gate_open;momentum_switch;risk_tier_0.25,3.6214726,106109.14718,54400,29300,2016-09-07,0.25,510500.SH
3.7832310000000002,103282.2063,510500.SH→510300.SH,2016-12-12,155.22808672500003,510500.SH,0.25,gate_open;momentum_switch;risk_tier_0.25,1.90604,103688.576,27300,54400,2016-12-09,0.25,510300.SH
,0.0,510300.SH→CASH,2016-12-14,75.17375775000001,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.6714900000000004,100231.67700000001,0,27300,2016-12-13,0.0,
3.596996,102514.386,CASH→510300.SH,2016-12-20,76.8857895,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,28500,0,2016-12-19,0.25,510300.SH
,0.0,510300.SH→CASH,2016-12-30,76.29436035,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.5693268000000002,101725.8138,0,28500,2016-12-29,0.0,
3.6118948000000004,102216.62284000001,CASH→510300.SH,2017-01-04,76.66246713000001,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,28300,0,2017-01-03,0.25,510300.SH
,0.0,510300.SH→CASH,2017-01-16,76.07518836,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.5842256,101433.58447999999,0,28300,2017-01-13,0.0,
3.6352576,102150.73856,CASH→510300.SH,2017-01-25,76.61305392,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,28100,0,2017-01-24,0.25,510300.SH
,0.0,510300.SH→CASH,2017-04-18,79.05208895999999,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.7509887999999996,105402.78527999998,0,28100,2017-04-17,0.0,
3.8721279999999996,102998.60479999999,CASH→510300.SH,2017-06-12,77.2489536,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,26600,0,2017-06-09,0.25,510300.SH
,0.0,510300.SH→CASH,2017-07-18,79.79514816,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.9997567999999997,106393.53087999999,0,26600,2017-07-17,0.0,
4.099264,103711.3792,CASH→510300.SH,2017-08-01,77.7835344,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,25300,0,2017-07-31,0.25,510300.SH
,0.0,510300.SH→CASH,2017-11-02,83.07856128,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.3783167999999995,110771.41503999999,0,25300,2017-11-01,0.0,
4.521087999999999,105341.35039999998,CASH→510300.SH,2017-11-13,79.0060128,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,23300,0,2017-11-10,0.25,510300.SH
,0.0,510300.SH→CASH,2017-11-17,78.59019168000002,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.4972928,104786.92224000001,0,23300,2017-11-16,0.0,
4.5275776,105039.80032,CASH→510300.SH,2018-01-08,78.77985024,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,23200,0,2018-01-05,0.25,510300.SH
,0.0,510300.SH→CASH,2018-01-16,80.26661759999999,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.613023999999999,107022.15679999998,0,23200,2018-01-15,0.0,
4.372,105802.4,CASH→510300.SH,2018-03-01,79.3518,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,24200,0,2018-02-28,0.25,510300.SH
,0.0,510300.SH→CASH,2018-03-26,76.63400085,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.222259,102178.66780000001,0,24200,2018-03-23,0.0,
4.217887,104603.59760000001,CASH→510300.SH,2018-04-03,78.45269820000001,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,24800,0,2018-04-02,0.25,510300.SH
,0.0,510300.SH→CASH,2018-04-12,79.9367736,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.297676,106582.3648,0,24800,2018-04-11,0.0,
1.762,105367.6,CASH→159915.SZ,2018-05-11,79.0257,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,59800,0,2018-05-10,0.25,159915.SZ
,0.0,159915.SZ→CASH,2018-05-18,77.4111,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,1.726,103214.8,0,59800,2018-05-17,0.0,
1.744,104814.4,CASH→159915.SZ,2018-05-24,78.6108,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,60100,0,2018-05-23,0.25,159915.SZ
,0.0,159915.SZ→CASH,2018-05-28,76.71765,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,1.702,102290.2,0,60100,2018-05-25,0.0,
3.613458,104067.5904,CASH→510300.SH,2018-11-16,78.05069280000001,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,28800,0,2018-11-15,0.25,510300.SH
,0.0,510300.SH→CASH,2018-11-26,75.38289840000002,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,3.489949,100510.53120000001,0,28800,2018-11-23,0.0,
3.7453730999999997,102997.76024999999,CASH→510300.SH,2019-02-18,77.2483201875,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,27500,0,2019-02-15,0.25,510300.SH
1.598,105947.40000000001,510300.SH→159915.SZ,2019-03-18,165.2767035,510300.SH,0.25,gate_open;momentum_switch;risk_tier_0.25,4.1607832,114421.538,66300,27500,2019-03-15,0.25,159915.SZ
,0.0,159915.SZ→CASH,2019-05-10,70.957575,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,1.427,94610.1,0,66300,2019-05-09,0.0,
4.0961886,102814.33385999998,CASH→510300.SH,2019-06-18,77.110750395,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,25100,0,2019-06-17,0.25,510300.SH
,0.0,510300.SH→CASH,2019-07-11,80.46521479500001,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.2743806,107286.95306,0,25100,2019-07-10,0.0,
1.508,104202.8,CASH→159915.SZ,2019-07-30,78.1521,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,69100,0,2019-07-29,0.25,159915.SZ
,0.0,159915.SZ→CASH,2019-08-05,77.47837500000001,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,1.495,103304.50000000001,0,69100,2019-08-02,0.0,
1.553,103895.7,CASH→159915.SZ,2019-08-23,77.921775,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,66900,0,2019-08-22,0.25,159915.SZ
4.508257599999999,105042.40207999999,159915.SZ→510300.SH,2019-09-09,161.01862656,159915.SZ,0.25,gate_open;momentum_switch;risk_tier_0.25,1.639,109649.1,23300,66900,2019-09-06,0.25,510300.SH
,0.0,510300.SH→CASH,2019-10-24,76.5826060125,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.3824095,102110.14134999999,0,23300,2019-10-23,0.0,
1.651,104508.3,CASH→159915.SZ,2019-12-10,78.381225,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,63300,0,2019-12-09,0.25,159915.SZ
,0.0,159915.SZ→CASH,2020-02-04,81.4671,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,1.716,108622.8,0,63300,2020-02-03,0.0,
1.943,105504.90000000001,CASH→159915.SZ,2020-02-12,79.128675,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,54300,0,2020-02-11,0.25,159915.SZ
,0.0,159915.SZ→CASH,2020-03-18,75.7485,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,1.86,100998.0,0,54300,2020-03-17,0.0,
1.921,104310.3,CASH→159915.SZ,2020-04-10,78.232725,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,54300,0,2020-04-09,0.25,159915.SZ
,0.0,159915.SZ→CASH,2020-04-28,79.29157500000001,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,1.947,105722.1,0,54300,2020-04-27,0.0,
2.021,104687.79999999999,CASH→159915.SZ,2020-05-12,78.51584999999999,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,51800,0,2020-05-11,0.25,159915.SZ
,0.0,159915.SZ→CASH,2020-05-22,78.28275000000001,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,2.015,104377.0,0,51800,2020-05-21,0.0,
2.075,104580.00000000001,CASH→159915.SZ,2020-06-03,78.43500000000002,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,50400,0,2020-06-02,0.25,159915.SZ
,0.0,159915.SZ→CASH,2020-07-08,95.06700000000001,159915.SZ,0.25,overheat;cash;risk_tier_0.25,2.515,126756.0,0,50400,2020-07-07,0.0,
2.718,110079.0,CASH→159915.SZ,2020-07-16,82.55925,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,40500,0,2020-07-15,0.25,159915.SZ
,0.0,159915.SZ→CASH,2020-09-29,74.50987500000001,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,2.453,99346.5,0,40500,2020-09-28,0.0,
2.682,107280.0,CASH→159915.SZ,2020-10-14,80.46000000000001,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,40000,0,2020-10-13,0.25,159915.SZ
,0.0,159915.SZ→CASH,2020-10-29,76.44,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,2.548,101920.0,0,40000,2020-10-28,0.0,
2.607,105844.20000000001,CASH→159915.SZ,2020-10-30,79.38315000000001,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,40600,0,2020-10-29,0.25,159915.SZ
,0.0,159915.SZ→CASH,2020-11-02,78.2565,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,2.57,104342.0,0,40600,2020-10-30,0.0,
2.653,105589.4,CASH→159915.SZ,2020-11-09,79.19205,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,39800,0,2020-11-06,0.25,159915.SZ
5.690942,104713.33279999999,159915.SZ→510300.SH,2020-11-23,155.51814960000002,159915.SZ,0.25,gate_open;momentum_switch;risk_tier_0.25,2.579,102644.20000000001,18400,39800,2020-11-20,0.25,510300.SH
