population,streak,gain_bucket,horizon,valid_count,net_mean,net_positive_rate,years_complete,negative_years,net_mean_pass,positive_rate_pass,annual_pass,cell_pass,reversed
s7_control,2,gt_1_5,1,4368,-0.0032217285780635134,0.3958333333333333,0,7,0,0,0,0,0
s7_control,2,gt_1_5,3,4368,-0.001203342408801964,0.45787545787545786,0,5,0,0,0,0,0
s7_control,2,gt_1_5,5,4325,-0.003780986055463512,0.44254335260115607,0,8,0,0,0,0,0
s7_control,2,gt_1_5,10,4325,-0.0005123380331228747,0.46196531791907514,0,5,0,0,0,0,0
s7_control,2,le_1_5,1,6781,-0.0016709657187196944,0.428255419554638,0,5,0,0,0,0,0
s7_control,2,le_1_5,3,6781,-0.0006063040409921396,0.4589293614511134,0,5,0,0,0,0,0
s7_control,2,le_1_5,5,6725,-0.0010199593440891044,0.4582899628252788,0,5,0,0,0,0,0
s7_control,2,le_1_5,10,6725,0.0032805524394227802,0.4820817843866171,0,5,1,0,0,0,0
s7_control,3,gt_1_5,1,2164,-0.00461426791845161,0.3646025878003697,0,7,0,0,0,0,0
s7_control,3,gt_1_5,3,2164,-0.004382537214439389,0.42744916820702406,0,7,0,0,0,0,0
s7_control,3,gt_1_5,5,2135,-0.008683216257440009,0.41826697892271664,0,7,0,0,0,0,0
s7_control,3,gt_1_5,10,2135,-0.007345555509373251,0.44028103044496486,0,6,0,0,0,0,0
s7_control,3,le_1_5,1,3262,-0.002470236812090547,0.4089515634580012,0,7,0,0,0,0,0
s7_control,3,le_1_5,3,3262,-0.0015600864774481646,0.45677498467198036,0,6,0,0,0,0,0
s7_control,3,le_1_5,5,3227,-0.0018483952982273307,0.4583204214440657,0,4,0,0,0,0,0
s7_control,3,le_1_5,10,3227,0.0012852287799439012,0.4775333126743105,0,5,0,0,0,0,0
s8_pool,2,gt_1_5,1,3670,-0.003071323684727974,0.39618528610354226,0,6,0,0,0,0,0
s8_pool,2,gt_1_5,3,3670,-0.0014313297046642034,0.4604904632152589,0,5,0,0,0,0,0
s8_pool,2,gt_1_5,5,3635,-0.004102013018477816,0.4420907840440165,0,8,0,0,0,0,0
s8_pool,2,gt_1_5,10,3635,-0.0020459250934631358,0.4616231086657497,0,5,0,0,0,0,0
s8_pool,2,le_1_5,1,5734,-0.0018516318769686581,0.4211719567492152,0,5,0,0,0,0,0
s8_pool,2,le_1_5,3,5734,-0.0009780138724387775,0.45640041855598185,0,5,0,0,0,0,0
s8_pool,2,le_1_5,5,5682,-0.0013819079660332598,0.4526575149595213,0,5,0,0,0,0,0
s8_pool,2,le_1_5,10,5682,0.003223969719995993,0.48028863076381556,0,5,1,0,0,0,0
s8_pool,3,gt_1_5,1,1799,-0.004355544623356933,0.36520289049471927,0,6,0,0,0,0,0
s8_pool,3,gt_1_5,3,1799,-0.004719035455071435,0.4252362423568649,0,6,0,0,0,0,0
s8_pool,3,gt_1_5,5,1777,-0.00947650943530165,0.41643218908272367,0,6,0,0,0,0,0
s8_pool,3,gt_1_5,10,1777,-0.008751797660258555,0.44063027574563873,0,7,0,0,0,0,0
s8_pool,3,le_1_5,1,2777,-0.0027051977757563002,0.40331292761973353,0,8,0,0,0,0,0
s8_pool,3,le_1_5,3,2777,-0.001913318524104722,0.45444724522866403,0,7,0,0,0,0,0
s8_pool,3,le_1_5,5,2743,-0.0016991018016864201,0.4582573824279985,0,4,0,0,0,0,0
s8_pool,3,le_1_5,10,2743,0.0017803455943531952,0.4794021144732045,0,5,1,0,0,0,0
