population,signal_date,ts_code,streak,gain_bucket,horizon,target_date,price_date,gross_return,net_return,status
s7_control,2016-08-22,600663.SH,2,gt_1_5,5,2016-08-29,2016-08-29,-0.06561583577712604,-0.06711583577712604,valid
s7_control,2016-08-22,600663.SH,2,gt_1_5,10,2016-09-05,2016-09-05,-0.08394428152492672,-0.08544428152492672,valid
s7_control,2016-08-22,600663.SH,3,gt_1_5,1,2016-08-23,2016-08-23,-0.014296187683284334,-0.015796187683284335,valid
s7_control,2016-08-22,600663.SH,3,gt_1_5,3,2016-08-25,2016-08-25,-0.07221407624633436,-0.07371407624633436,valid
s7_control,2016-08-22,600663.SH,3,gt_1_5,5,2016-08-29,2016-08-29,-0.06561583577712604,-0.06711583577712604,valid
s7_control,2016-08-22,600663.SH,3,gt_1_5,10,2016-09-05,2016-09-05,-0.08394428152492672,-0.08544428152492672,valid
s7_control,2016-08-22,601009.SH,2,le_1_5,1,2016-08-23,2016-08-23,0.0036663611365717053,0.0021663611365717052,valid
s7_control,2016-08-22,601009.SH,2,le_1_5,3,2016-08-25,2016-08-25,-0.015582034830430858,-0.01708203483043086,valid
s7_control,2016-08-22,601009.SH,2,le_1_5,5,2016-08-29,2016-08-29,-0.019248395967002896,-0.020748395967002897,valid
s7_control,2016-08-22,601009.SH,2,le_1_5,10,2016-09-05,2016-09-05,-0.019248395967002896,-0.020748395967002897,valid
s7_control,2016-08-22,601009.SH,3,le_1_5,1,2016-08-23,2016-08-23,0.0036663611365717053,0.0021663611365717052,valid
s7_control,2016-08-22,601009.SH,3,le_1_5,3,2016-08-25,2016-08-25,-0.015582034830430858,-0.01708203483043086,valid
s7_control,2016-08-22,601009.SH,3,le_1_5,5,2016-08-29,2016-08-29,-0.019248395967002896,-0.020748395967002897,valid
s7_control,2016-08-22,601009.SH,3,le_1_5,10,2016-09-05,2016-09-05,-0.019248395967002896,-0.020748395967002897,valid
s7_control,2016-08-22,601601.SH,2,le_1_5,1,2016-08-23,2016-08-23,0.0,-0.0015,valid
s7_control,2016-08-22,601601.SH,2,le_1_5,3,2016-08-25,2016-08-25,0.0,-0.0015,valid
s7_control,2016-08-22,601601.SH,2,le_1_5,5,2016-08-29,2016-08-29,0.011733535200605605,0.010233535200605605,valid
s7_control,2016-08-22,601601.SH,2,le_1_5,10,2016-09-05,2016-09-05,0.059803179409538165,0.058303179409538164,valid
s7_control,2016-08-22,601939.SH,2,le_1_5,1,2016-08-23,2016-08-23,0.00945179584120992,0.00795179584120992,valid
s7_control,2016-08-22,601939.SH,2,le_1_5,3,2016-08-25,2016-08-25,0.007561436672967936,0.0060614366729679365,valid
s7_control,2016-08-22,601939.SH,2,le_1_5,5,2016-08-29,2016-08-29,-0.009451795841209698,-0.010951795841209698,valid
s7_control,2016-08-22,601939.SH,2,le_1_5,10,2016-09-05,2016-09-05,0.003780718336483968,0.002280718336483968,valid
s7_control,2016-08-22,601988.SH,2,le_1_5,1,2016-08-23,2016-08-23,0.0028985507246375164,0.0013985507246375164,valid
s7_control,2016-08-22,601988.SH,2,le_1_5,3,2016-08-25,2016-08-25,0.0028985507246375164,0.0013985507246375164,valid
